City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Bredasdorp,ZA,-34.5322,20.0403,64.09,85,1,1.68,clear sky
172,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,0,6.91,clear sky
173,Mahebourg,MU,-20.4081,57.7,80.26,83,40,3.44,scattered clouds
174,Ternate,ID,0.8,127.4,81.0,75,100,3.38,overcast clouds
175,Carnarvon,AU,-24.8667,113.6333,82.47,61,3,17.27,clear sky
176,Wanning,CN,18.8003,110.3967,76.32,71,13,7.34,few clouds
177,Udachnyy,RU,66.4167,112.4,-21.51,97,72,9.31,broken clouds
178,Springdale,US,36.1867,-94.1288,28.58,97,40,4.0,mist
179,Zharkent,KZ,44.1628,80.0,35.35,50,100,4.07,overcast clouds
180,Shorapur,IN,16.5167,76.75,69.87,70,62,9.71,broken clouds
181,San Cristobal,VE,7.7669,-72.225,70.02,74,100,0.96,overcast clouds
182,Dordrecht,NL,51.81,4.6736,44.02,90,63,3.0,broken clouds
183,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,46,75,17.9,broken clouds
184,Vardo,NO,70.3705,31.1107,27.37,59,100,27.54,overcast clouds
185,San Lawrenz,MT,36.0553,14.204,52.86,86,73,1.99,broken clouds
186,Carnot,CF,4.9409,15.8665,66.56,35,75,2.98,broken clouds
187,Kaitangata,NZ,-46.2817,169.8464,68.94,82,82,6.6,broken clouds
188,Jardim,BR,-21.4803,-56.1381,78.37,48,21,5.1,few clouds
189,Lebowakgomo,ZA,-24.2,29.5,67.1,81,100,3.38,overcast clouds
190,Springfield,US,37.2153,-93.2982,28.89,92,100,7.0,overcast clouds
191,Kantang,TH,7.4054,99.5156,84.29,65,20,9.22,few clouds
192,Guerrero Negro,MX,27.9769,-114.0611,64.09,62,78,9.33,broken clouds
193,Sanger,US,36.708,-119.556,56.77,82,75,0.0,haze
194,Coihueco,CL,-36.6167,-71.8333,57.94,58,24,5.75,few clouds
195,Port Hardy,CA,50.6996,-127.4199,47.75,93,100,9.22,light intensity shower rain
196,Port Lincoln,AU,-34.7333,135.8667,68.65,60,86,14.45,overcast clouds
197,Alamosa,US,37.4695,-105.87,27.91,45,0,3.44,clear sky
198,Hithadhoo,MV,-0.6,73.0833,81.75,72,97,8.3,overcast clouds
199,Remontnoye,RU,46.5614,43.6501,24.49,97,68,7.02,broken clouds
200,Georgetown,MY,5.4112,100.3354,84.15,71,20,5.75,few clouds
201,Tezu,IN,27.9167,96.1667,67.1,27,0,1.72,clear sky
202,Murgab,TM,37.4966,61.9714,40.87,87,75,6.91,light rain
203,Kasempa,ZM,-13.4584,25.8338,62.58,96,100,3.44,overcast clouds
204,Taoudenni,ML,22.6783,-3.9836,53.64,36,94,13.38,overcast clouds
205,Camaqua,BR,-30.8511,-51.8122,73.94,91,80,5.79,broken clouds
206,Talara,PE,-4.5772,-81.2719,71.89,84,89,12.95,overcast clouds
207,Zagare,LT,56.3592,23.25,38.16,91,100,20.56,overcast clouds
208,Longyearbyen,SJ,78.2186,15.6401,10.24,52,75,12.66,broken clouds
209,Texarkana,US,33.4251,-94.0477,40.1,71,0,4.61,clear sky
210,Idritsa,RU,56.3316,28.8988,31.53,96,100,13.44,snow
211,Sarkand,KZ,45.41,79.9186,33.6,62,69,7.09,broken clouds
212,Erzin,TR,36.9559,36.2,34.32,46,0,5.59,clear sky
213,Smithers,CA,54.7804,-127.1743,32.32,100,100,2.3,mist
214,San Fernando,PH,15.0286,120.6898,86.14,48,86,14.5,overcast clouds
215,Antofagasta,CL,-23.65,-70.4,67.28,83,6,4.5,clear sky
216,Gazojak,TM,41.1875,61.4036,31.91,80,99,10.51,overcast clouds
217,Balkanabat,TM,39.5108,54.3671,36.64,86,100,5.86,overcast clouds
218,Te Anau,NZ,-45.4167,167.7167,73.36,56,51,6.24,broken clouds
