City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Vila Franca Do Campo,PT,2022-01-16 23:13:13,37.7167,-25.4333,57.61,74,27,12.17
135,Ponta Do Sol,PT,2022-01-16 23:14:13,32.6667,-17.1,65.03,72,87,18.77
136,Port Alfred,ZA,2022-01-16 23:14:14,-33.5906,26.891,71.44,92,99,13.0
137,Nouadhibou,MR,2022-01-16 23:14:14,20.931,-17.0347,68.83,63,99,13.35
138,Iwanai,JP,2022-01-16 23:14:14,42.9744,140.5089,31.15,93,100,16.24
139,Dudinka,RU,2022-01-16 23:14:15,69.4058,86.1778,11.62,89,100,25.26
140,Bambous Virieux,MU,2022-01-16 23:14:15,-20.3428,57.7575,78.22,88,40,3.44
141,Mugur-Aksy,RU,2022-01-16 23:14:15,50.35,90.5,10.78,72,98,6.64
142,Shenjiamen,CN,2022-01-16 23:14:16,29.9576,122.298,46.74,76,100,8.05
143,Kiama,AU,2022-01-16 23:14:16,-34.6833,150.8667,85.24,74,19,10.0
144,Chuy,UY,2022-01-16 23:14:16,-33.6971,-53.4616,74.68,90,83,8.08
145,Bac Lieu,VN,2022-01-16 23:14:17,9.285,105.7244,75.87,82,47,15.32
146,Longyearbyen,SJ,2022-01-16 23:14:17,78.2186,15.6401,6.64,78,40,5.75
147,Vila Velha,BR,2022-01-16 23:14:17,-20.3297,-40.2925,80.55,84,40,4.0
148,Dzhebariki-Khaya,RU,2022-01-16 23:14:18,62.2167,135.8,-43.62,100,65,1.16
149,Polyarnyy,RU,2022-01-16 23:14:18,69.1989,33.4478,21.47,94,100,24.38
150,Kaitangata,NZ,2022-01-16 23:14:18,-46.2817,169.8464,65.05,67,98,1.9
151,Sao Gabriel Da Cachoeira,BR,2022-01-16 23:14:19,-0.1303,-67.0892,74.57,97,100,0.63
152,Ransang,PH,2022-01-16 23:14:19,8.9603,117.5828,77.18,82,88,4.63
153,Severo-Yeniseyskiy,RU,2022-01-16 23:14:19,60.3725,93.0408,-8.27,100,94,3.71
154,Flinders,AU,2022-01-16 23:14:20,-34.5833,150.8552,85.05,79,16,4.0
155,Muskogee,US,2022-01-16 23:14:20,35.5834,-95.3336,43.34,75,0,3.44
156,Maxixe,MZ,2022-01-16 23:11:06,-23.8597,35.3472,75.36,71,79,7.92
157,Lahad Datu,MY,2022-01-16 23:14:21,5.0268,118.327,73.74,94,94,5.21
158,Nahan,IN,2022-01-16 23:14:21,30.55,77.3,47.5,60,84,1.63
159,Sinnamary,GF,2022-01-16 23:14:21,5.3833,-52.95,77.31,85,96,11.72
160,Hovd,MN,2022-01-16 23:14:22,48.0056,91.6419,3.16,81,90,4.16
161,Clyde River,CA,2022-01-16 23:14:22,70.4692,-68.5914,-7.37,77,75,21.85
162,Gubbi,IN,2022-01-16 23:14:22,13.3106,76.9444,65.86,80,88,6.2
163,Cap Malheureux,MU,2022-01-16 23:14:23,-19.9842,57.6142,78.48,84,13,4.25
164,Antipovka,RU,2022-01-16 23:14:23,49.8299,45.3122,12.76,95,19,9.55
165,Cumpas,MX,2022-01-16 23:14:23,29.9833,-109.7833,72.63,21,8,2.98
166,Sept-Iles,CA,2022-01-16 23:14:23,50.2001,-66.3821,11.05,63,75,11.99
167,Blyth,GB,2022-01-16 23:14:24,55.1271,-1.5086,43.09,82,0,4.0
