City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Antofagasta,CL,67.28,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
218,Te Anau,NZ,73.36,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
220,Buala,SB,85.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
222,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
223,Hualmay,PE,72.07,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
226,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
227,Kindu,CD,65.28,overcast clouds,-2.95,25.95,Résidence Okanda
230,Chilca,PE,73.56,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
233,Emerald,AU,97.34,broken clouds,-23.5333,148.1667,The Irish Village
234,Cockburn Town,TC,78.53,clear sky,21.4612,-71.1419,Osprey Beach Hotel
236,Celestun,MX,70.56,overcast clouds,20.8667,-90.4,Posada Lilia
237,Launceston,AU,80.24,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
239,Bourail,NC,83.28,light rain,-21.5667,165.4833,Motel Allamanda
242,Fundacion,CO,80.26,broken clouds,10.5207,-74.185,ITN Fundación Magdalena
243,Katsuura,JP,50.04,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
246,Tura,IN,66.06,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
247,Laguna,US,56.25,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
249,Nishihara,JP,60.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
252,Kahului,US,81.66,clear sky,20.8947,-156.47,Maui Seaside Hotel
